,Date,Open,High,Low,Close,Adj Close,Volume
0,20180130,114.974159,116.363655,113.067001,115.137627,113.471878,7873404
1,20180131,114.402016,119.197144,113.966095,116.172943,114.492218,14190496
2,20180201,116.063957,118.270813,110.996384,116.608864,114.921837,9002862
3,20180202,116.063957,116.063957,106.310226,107.454521,105.899933,12747646
4,20180205,100.861214,109.525146,100.098358,108.68055,107.108215,11825552
5,20180206,100.806725,107.99942,99.553452,106.419212,104.879593,10865044
6,20180207,108.735039,110.478722,106.310226,107.209312,105.658272,7308821
7,20180208,108.026665,112.33139,107.291054,111.432304,109.82016,8147287
8,20180209,108.980247,115.437325,107.69973,114.483749,112.827461,11122413
9,20180212,115.083138,119.496841,115.083138,118.379791,116.66713,13340428
10,20180214,119.060921,121.785423,118.107338,119.578575,117.848579,12691224
11,20180215,120.477661,121.322258,114.78344,117.01754,115.324593,9129656
12,20180216,117.589684,119.033676,111.595772,113.230476,111.592316,10018309
13,20180219,111.70475,113.039757,109.252693,110.560455,108.96093,8936687
14,20180220,110.070045,110.914642,106.255737,107.890442,106.329536,11610335
15,20180221,108.598816,109.252693,106.419212,107.563499,106.007324,7621480
16,20180222,106.800636,111.40506,105.60186,110.778419,109.175735,16437924
17,20180223,111.432304,112.113426,109.7976,111.350563,109.739601,9189024
18,20180226,111.70475,113.257721,110.887398,112.031693,110.410881,5353014
19,20180227,112.249657,114.347519,109.634125,112.8218,111.189552,10994042
20,20180228,111.677505,113.31221,110.342499,110.914642,109.30999,7114891
21,20180301,110.914642,112.631081,107.99942,108.517082,106.947113,6606714
22,20180305,108.435341,110.451477,107.209312,109.470657,107.886902,7142031
23,20180306,110.342499,110.805664,98.136711,101.460609,99.992729,14797586
24,20180307,99.662437,101.051933,92.197289,93.831993,92.47448,39901321
25,20180308,94.812813,96.665482,87.184196,92.061066,90.729179,35549750
26,20180309,92.061066,92.905663,84.268974,85.059082,83.828499,31361197
27,20180312,86.3396,89.581764,81.735184,88.410225,87.131149,36867220
28,20180313,88.301247,89.636253,85.549492,87.047974,85.788612,27822361
29,20180314,85.440514,90.017685,85.304291,89.227577,87.936676,24472244
30,20180315,89.091347,92.87841,88.927879,91.025749,89.708839,24216374
31,20180316,91.270958,91.788612,86.721031,87.45665,86.191376,22765608
32,20180319,87.184196,88.274002,84.268974,87.511139,86.245071,21394394
33,20180320,86.612053,89.036858,86.257866,87.701851,86.433029,17242124
34,20180321,88.137772,90.535339,87.810837,88.38298,87.104301,14220268
35,20180322,88.491959,89.282066,86.394089,86.884499,85.627502,11326269
36,20180323,84.459686,85.113571,81.02681,83.07019,81.86837,18236099
37,20180326,83.097435,90.589828,82.14386,89.227577,87.936676,22902521
38,20180327,90.399117,91.379936,86.421333,87.129707,85.869156,22051871
39,20180328,86.584808,88.219505,84.296219,85.222549,83.989594,21470217
40,20180402,85.712959,88.519203,82.389069,87.674606,86.406181,18337901
41,20180403,86.230621,88.982368,85.304291,88.491959,87.2117,21100128
42,20180404,88.519203,90.671562,80.154968,82.525291,81.331367,61208164
